Anti-protesters,Married_women_obedience,Strongman_as_Leader,Anti_LGBT,Pro_Authorities,Religion_no_influence_in_good_person,Lack_traditional_values_hurt_country,Nudist_camps_OK,Freedom_speech_is_good_even if_upsets_people,Fatalism_regarding_perceived_lack_of_moral_values,Sexual_political_diversity_OK,Adherence_to_old_values,Admiration_for_early_social_cause_fighters,Faith_in_powerful_leader,Best_in_humanity_those_who_challenge_old_ways ,Anti-abortion_and_antipornography,Radical_immorality_punished_law,Womens_place_is_wherever_she_wants,Strong_conformity_rules_government_authority,Not_one_correct_way_to_live_life,ÊHomosexuals_feminists_praised_for_defy_traditional_values,Silencing_voices_social_issues_brings_order,Extraverted,Critical,Dependable,Anxious,Open_new_experiences,Reserved,Sympathetic,Disorganized,Calm,Conventional,IP_country,education_1lesshighschool_2highschool_3uni_4grad,living_setting_1rural_2suburban_2urban,gender_1male_2female_3other,english_native,age,hand_1right_2left_3ambi,religion_1agnostic_2atheist_3buddhist_4catholic_5mormon_6protestant_7christian_8hindu_9jewish_10muslim_11sikh_12other,orientation_1hetero_2bi_3homo_4asexual_5other,race_1asian_2arab_3black_4aborigen_5nativeamerican_6white_7other,voted,marital_1never_2current_3previous,familysize
3,2,1,8,2,7,1,8,9,3,7,5,9,2,9,1,1,8,1,7,7,1,6,3,6,4,7,3,7,4,4,1,US,4,1,1,1,62,1,6,2,4,1,2,3
1,6,7,9,3,9,9,4,9,9,8,9,9,8,9,2,9,3,5,7,9,9,1,7,7,6,6,7,2,4,1,1,PL,1,2,1,2,16,1,2,1,4,2,1,2
1,1,1,8,1,8,1,9,9,1,9,2,8,1,8,1,1,9,1,9,9,1,3,6,1,6,6,5,4,1,3,1,CA,3,2,2,1,59,1,10,1,4,2,3,3
1,1,1,3,1,9,1,1,7,1,9,2,9,5,9,1,1,3,1,9,4,1,1,7,2,7,3,7,1,5,1,7,GB,2,3,2,1,49,3,2,1,4,1,1,1
3,2,2,8,3,8,1,8,2,9,8,2,5,2,5,1,1,8,2,8,6,2,3,5,4,3,6,6,3,6,5,2,US,2,3,1,1,29,1,12,1,4,2,2,3
1,1,1,9,1,5,1,9,9,1,9,1,9,1,9,1,1,9,1,9,9,1,2,3,5,7,2,3,4,7,3,1,US,2,3,2,1,22,1,2,2,4,2,2,1
5,2,2,8,3,8,2,8,9,2,8,3,2,2,8,1,2,8,2,9,8,2,4,6,6,2,6,5,6,4,6,3,CA,2,3,1,2,55,2,4,3,4,1,1,8
2,1,1,9,1,9,1,9,9,2,9,1,9,1,9,1,1,9,1,9,9,1,1,6,3,3,7,7,6,5,5,2,CA,2,3,1,1,24,1,2,2,4,2,1,3
3,1,8,9,1,9,2,9,8,2,9,1,9,6,9,1,2,9,1,9,9,1,1,6,5,7,2,7,5,5,1,3,US,2,2,2,1,18,1,2,5,5,2,1,2
3,1,1,9,1,9,1,4,9,1,9,1,9,1,9,1,1,9,1,9,9,1,1,4,5,7,1,7,6,3,1,5,AU,2,2,2,1,15,2,2,4,4,2,1,2
4,1,2,9,2,9,2,5,6,2,8,2,8,3,7,1,2,9,7,7,9,3,5,5,5,6,5,1,6,3,5,1,AU,3,2,2,1,35,2,2,1,0,2,2,2
1,1,1,9,1,9,1,8,8,1,9,3,8,1,9,1,1,9,1,9,5,1,5,5,5,2,7,4,5,5,6,6,GB,2,1,1,1,50,1,2,1,4,1,3,3
3,1,1,8,1,9,1,5,9,1,9,1,9,2,7,1,2,9,1,8,7,1,4,5,4,1,6,5,3,7,7,2,SE,3,2,1,2,31,1,2,1,4,1,1,3
2,1,1,4,5,4,1,1,1,8,3,7,2,2,2,3,6,6,3,2,1,4,2,5,0,6,6,7,5,7,4,3,SG,2,3,2,2,18,1,6,1,1,2,1,2
4,1,2,9,1,9,1,5,8,2,9,2,8,3,7,1,6,9,5,8,8,1,6,6,6,6,7,2,6,4,4,4,CA,3,1,2,2,28,1,1,2,4,2,1,4
2,1,1,9,1,9,1,6,9,5,9,2,9,5,9,1,1,9,3,9,9,1,6,3,6,7,7,5,7,1,5,1,AU,2,3,2,1,18,1,1,1,4,2,1,3
1,1,1,9,2,9,2,9,9,1,9,1,9,2,9,1,1,9,1,9,9,1,5,1,2,5,7,6,7,7,6,2,CA,1,3,2,1,18,1,1,5,5,2,1,2
4,7,5,7,4,6,5,6,5,6,8,6,4,6,6,7,6,7,6,6,6,3,6,7,6,3,5,4,6,5,6,6,PH,3,3,1,2,20,1,4,1,1,1,1,2
2,1,1,9,2,9,1,7,8,1,8,2,7,2,7,1,1,9,1,8,8,1,6,6,1,6,7,2,6,5,2,2,DE,4,3,2,2,32,1,2,1,4,1,1,1
1,1,1,9,1,9,1,1,9,1,9,1,9,1,8,1,1,9,1,9,7,1,1,2,3,2,6,7,6,7,2,3,AU,3,2,1,1,53,1,2,2,4,2,2,4
